Pais|Aceites y grasas|Acuícola y pesquero|Agroindustrial|Agroquímicos|Artesanías|Artículos de hogar oficina hoteles e industrial|Autopartes|Avícola|Azúcar|Banano|Bebidas|Bovino|Cacao y sus derivados|Café|Calzado|Comunicación gráfica y editorial|Cosméticos y productos de aseo|Couriers|Cuero y manufacturas de cuero|Cárnico|Derivados del café|Dotación Hospitalaria|Dotación hospitalaria|Envases/Empaques|Envases/empaques|Farmacéutico|Flores y plantas vivas|Frutas y hortalizas frescas y procesadas|Instrumentos y aparatos|Joyeria y Bisuteria|Joyería y bisutería|Lácteos y sus derivados|Material Promocional|Materiales de construcción|Metalmecánica|Muebles y maderas|Objetos de arte, antigüedades y menajes|Otros agrícola|Otros pecuario|Otros servicios|Papel y cartón|Plástico y caucho|Porcino|Químico|Textiles y Confecciones|Textiles y confecciones|Vehículos y otros medios de transporte
Azerbaiyán|0.54093719|0.57228309|0.46694368|0.54893816|0.55602795|0.59154904|0.56133926|0.65781283|0.64175707|0.54021442|0.57001942|0.68713903|0.5235545|0.3276265|0.61531866|0.5194844|0.58527696|0.22196141|0.53975725|0.68434304|0.41780609|0.22196141|0.57225227|0.60943723|0.14705858|0.64288497|0.508946|0.53044987|0.58421516|0.64314783|0.17392138|0.64913297|0.56923074|0.57211876|0.55557477|0.58956051|0.57149696|0.5908795|0.53190321|0.67698801|0.59396034|0.52758771|0.71587813|0.5545212|0.60356462|0.11744933|0.58454949
Bahamas|0.61611259|0.67549109|0.63646054|0.63158524|0.640064|0.71463215|0.66694057|0.77675724|0.79341614|0.63894314|0.71283185|0.76490957|0.53599358|0.56261349|0.72538555|0.62184703|0.7383877|0.66734433|0.74441773|0.82606125|0.54734862|0.66734433|0.71188569|0.66633892|0.4949308|0.66629785|0.60578245|0.67777139|0.68766946|0.77908146|0.54572809|0.77628171|0.70501065|0.77023494|0.72698641|0.70224375|0.77345216|0.69867712|0.67155564|0.77266562|0.69676614|0.67272079|0.85929942|0.65373939|0.71593595|0.68189102|0.80635178
Bahréin|0.54674363|0.6530444|0.63063753|0.51028293|0.62480116|0.6746307|0.58491945|0.74421859|0.69477117|0.5815208|0.5907886|0.70267713|0.64655524|0.47102952|0.66825396|0.67737001|0.65691608|0.35153201|0.60541624|0.66866672|0.49972832|0.35153201|0.61668348|0.65843815|0.24375814|0.71253705|0.59158278|0.73537129|0.64461368|0.78942579|0.28031915|0.71784735|0.63536584|0.64227927|0.64302099|0.64278758|0.63074678|0.61696208|0.64928293|0.70325476|0.64097357|0.58813626|0.68248248|0.60728228|0.69355029|0.21992584|0.65708917
Bangladesh|0.69949561|0.52359307|0.4909938|0.52319062|0.54766506|0.58009863|0.65379792|0.64594817|0.7341823|0.41060892|0.54787338|0.61431527|0.43132591|0.20792156|0.60798073|0.54949486|0.57066953|0.22597528|0.5960871|0.60209942|0.42110443|0.22597528|0.56695557|0.58219481|0.15063491|0.49806437|0.30156535|0.61378759|0.58818436|0.65689003|0.17753103|0.63104957|0.57269168|0.56370223|0.58467621|0.54905266|0.57512468|0.85305941|0.54503137|0.6611833|0.66577196|0.55198574|0.11345527|0.57773858|0.8186661|0.26075813|0.56083989
Barbados|0.72247863|0.70907712|0.7577976|0.65704107|0.6518997|0.75381005|0.77293146|0.72357821|0.80086666|0.62539995|0.69776732|0.71934992|0.64260262|0.44692463|0.71661389|0.77696168|0.67464328|0.70592165|0.759426|0.72692233|0.62416852|0.70592165|0.79434615|0.75470537|0.7149986|0.70331669|0.49747527|0.72485191|0.77933669|0.73530555|0.58175528|0.75519735|0.79531336|0.76267385|0.78281713|0.78925091|0.69004881|0.71443671|0.70786732|0.78455532|0.81031662|0.74844295|0.7953881|0.7527262|0.74571502|0.67185485|0.81868309
Belice|0.60626614|0.59044713|0.5900625|0.70761347|0.58804667|0.69094676|0.63175845|0.7069962|0.50610107|0.23916319|0.6710583|0.60163194|0.71587139|0.43392497|0.67933846|0.76736104|0.61540794|0.52359831|0.6499958|0.75785661|0.61301124|0.52359831|0.62323081|0.67242986|0.56277978|0.76011437|0.42350289|0.66047907|0.67369485|0.68611246|0.42617172|0.71285909|0.61275417|0.68154442|0.61025983|0.69172037|0.60592818|0.63522398|0.58285815|0.72608292|0.6834138|0.65962297|0.76372373|0.69482315|0.66864145|0.35890794|0.64093959
Benín|0.66023445|0.76730406|0.73869056|0.70021719|0.69290471|0.68528712|0.70928645|0.80208313|0.65248215|0.59644824|0.71614605|0.62412828|0.48119748|0.37809122|0.7512157|0.72775018|0.66341639|0.73041356|0.68552291|0.73788631|0.57047701|0.73041356|0.71914637|0.684726|0.69690347|0.74803603|0.40500337|0.63788044|0.71055102|0.71981072|0.60094416|0.74389154|0.71666235|0.68899465|0.68987107|0.70882881|0.6701076|0.76239967|0.70462584|0.77717817|0.74560285|0.64826059|0.71220511|0.7211774|0.76566023|0.54290628|0.75621724
Bermudas|0.55853391|0.6145072|0.54596287|0.56178212|0.61095291|0.61326116|0.60184067|0.69148004|0.48363662|0.531627|0.65142125|0.66412902|0.56521225|0.51389855|0.64798248|0.64536047|0.61980999|0.44408023|0.66695487|0.753088|0.47073036|0.44408023|0.63924444|0.60347599|0.31962103|0.59843796|0.41271633|0.59105998|0.6003921|0.72337389|0.357243|0.67688757|0.64474702|0.69997787|0.56721354|0.69553179|0.67676431|0.62130165|0.61465013|0.73871452|0.63261569|0.58371037|0.8755272|0.61974758|0.66192472|0.29874173|0.7308383
Bielorrusia|0.59351784|0.67903084|0.60139763|0.58472884|0.63344622|0.64776587|0.64223814|0.70023835|0.52512884|0.58867043|0.65423882|0.63148373|0.6552906|0.52223337|0.69822717|0.73303586|0.65134048|0.33002973|0.62351954|0.69884562|0.55951339|0.33002973|0.62939775|0.66955644|0.22588742|0.62936521|0.7130115|0.62572396|0.63362277|0.66649175|0.26491928|0.66749299|0.66691661|0.64771175|0.63074172|0.6553936|0.64890546|0.65587103|0.61065048|0.75088948|0.68041599|0.62062138|0.77275741|0.62750691|0.68391532|0.19925424|0.62773621
Bolivia|0.7273953|0.83522332|0.91343945|0.85199791|0.85962248|0.90211183|0.88563907|0.8475818|0.63789117|0.7015906|0.82771868|0.80281353|0.83849919|0.51688272|0.94031858|0.91662157|0.89445853|0.95289779|0.88063478|0.86501324|0.78592753|0.95289779|0.92042816|0.85430628|0.85323179|0.94164407|0.65493441|0.84563386|0.87517059|0.90141958|0.91892457|0.79507804|0.92411101|0.88868511|0.90228212|0.89417148|0.82958567|0.90455008|0.8436563|0.87826532|0.92538321|0.89196062|0.88211405|0.89942294|0.87562239|0.88429362|0.92460227
Bosnia|0.59780705|0.64714551|0.61578178|0.57175195|0.61977446|0.63280576|0.62405062|0.67060608|0.68352824|0.60052317|0.66484821|0.72945654|0.63887346|0.52810889|0.69281989|0.61902738|0.64023948|0.38699198|0.67764914|0.72406399|0.52184749|0.38699198|0.65688497|0.65167236|0.27361214|0.64659333|0.54861176|0.62172878|0.64988172|0.69378537|0.31059986|0.68201751|0.6738236|0.65183324|0.60354495|0.66470611|0.60882807|0.64971542|0.57576895|0.73156428|0.68916154|0.61721951|0.77608353|0.61375952|0.69781625|0.24711531|0.65984637
Botsuana|0.56831944|0.62490863|0.53521049|0.55553019|0.60810506|0.61765903|0.60866046|0.66244292|0.54234612|0.56058931|0.63839155|0.63585681|0.54056251|0.45994419|0.63803983|0.6947453|0.62359345|0.36016411|0.60873699|0.68152332|0.46168113|0.36016411|0.63553864|0.61544669|0.25035748|0.60234106|0.38507402|0.57318181|0.61791706|0.69033301|0.28707322|0.69520587|0.61752754|0.59426117|0.58892018|0.62578189|0.63497609|0.62804246|0.57857209|0.69502163|0.64536041|0.57245016|0.7915175|0.59508479|0.61412859|0.22655517|0.64806426
Brasil|1.0|0.96788418|0.93018913|1.0|0.93227267|0.95389807|1.0|0.78777778|0.56018901|0.68974876|0.87486643|0.9621135|0.765095|0.46756428|0.9583497|0.83201611|0.90200669|0.92197239|0.94687474|0.8749752|0.77724504|0.92197239|0.94748092|0.89633489|0.83872831|0.92822939|0.78518242|0.92301255|1.0|0.91623902|0.74545556|0.90489209|0.93868887|0.97365266|1.0|0.93173867|0.88905168|0.97368652|1.0|0.94469827|0.96902335|1.0|0.8911072|1.0|0.9435181|0.83264387|1.0
Brunéi|0.13683315|0.1366424|0.10964882|0.095002383|0.20699883|0.12405096|0.12743567|0.15112081|0.21124533|0.13096859|0.18900011|0.17257093|0.16119215|0.10816097|0.49046993|0.16856584|0.17814195|0.20752728|0.10901706|0.22158855|0.093841329|0.20752728|0.1435096|0.16747908|0.13476345|0.093344361|0.066760287|0.16126238|0.20232287|0.22486579|0.16146344|0.1977877|0.092617273|0.098475881|0.3628217|0.10186474|0.058264598|0.11003996|0.14228763|0.15488335|0.12912279|0.51794302|0.23618147|0.094456926|0.45471221|0.10512262|0.092721075
Bulgaria|0.28953227|0.54557014|0.38332376|0.5589118|0.49335599|0.51913953|0.17460868|0.26701769|0.55188996|0.661156|0.24212635|0.1943436|0.25881708|0.40457064|0.23113725|0.37992561|0.25422314|0.42250985|0.4623574|0.33583903|0.39801627|0.42250985|0.20396955|0.24553964|0.30075678|0.18190995|0.39281014|0.50411367|0.13280958|0.27986136|0.34091997|0.28990477|0.46217698|0.18222505|0.41613543|0.36321843|0.23528822|0.17450386|0.27074075|0.2330763|0.27790838|0.39969486|0.39758614|0.17234981|0.49825799|0.44428882|0.18128392
Burkina Faso|0.36405656|0.3736048|0.59303975|0.36890507|0.32306114|0.35668951|0.39102867|0.46011013|0.32182878|0.36163402|0.40300035|0.37663186|0.20668933|0.23074941|0.45607227|0.45531639|0.38164523|0.74761313|0.37122324|0.40002245|0.30523664|0.74761313|0.40179211|0.34624651|0.55811071|0.390986|0.25921339|0.27958238|0.3453151|0.41647613|0.61528498|0.45633757|0.39471644|0.37519181|0.57454443|0.37864619|0.41483754|0.40290886|0.37865463|0.49046588|0.44149265|0.32109535|0.3392731|0.36039138|0.37238386|0.55705726|0.83851761
Burundi|0.19776013|0.1651555|0.12465726|0.21418761|0.20408893|0.13078745|0.14713013|0.19751582|0.057495475|0.17367145|0.19926855|0.13582566|0.11788259|0.065067485|0.21142845|0.32296363|0.17497952|0.41502237|0.1897245|0.19557811|0.12394453|0.41502237|0.26060376|0.14605787|0.29395771|0.23553629|0.11682639|0.17184955|0.16078442|0.19959982|0.33406851|0.16981241|0.16787297|0.14140718|0.52280766|0.20556408|0.18067393|0.17071402|0.14603937|0.29674527|0.26302522|0.17919472|0.16671763|0.21911526|0.15738285|0.27577555|0.2206181
Bután|0.51122111|0.4972707|0.3875559|0.44208205|0.53350008|0.54337788|0.52143937|0.62672544|0.47565877|0.4066754|0.51179588|0.59437919|0.40396726|0.26412013|0.56854677|0.59970844|0.53989488|0.2507641|0.43077874|0.64611506|0.3687194|0.2507641|0.55446327|0.53198951|0.16790968|0.52310735|0.2364305|0.46853846|0.52277017|0.62112415|0.19791588|0.63441503|0.55685282|0.49677557|0.47672534|0.56796563|0.55447698|0.56871659|0.52800488|0.63418031|0.55076694|0.45832965|0.70218092|0.47875488|0.58955497|0.14661901|0.57997966
Bélgica|0.91097665|0.93231976|1.0|0.77284479|1.0|0.90742958|0.99301779|0.91563547|0.86882269|1.0|1.0|0.93149781|1.0|0.85849202|1.0|0.96627796|0.99502051|0.56363374|0.93164533|1.0|0.84938276|0.56363374|1.0|1.0|0.58294117|0.95749569|0.70792341|1.0|0.91658437|0.94232881|0.46307468|0.98461026|0.98023248|0.99253249|0.99355829|1.0|1.0|1.0|0.91416228|1.0|0.95770776|0.99378693|0.98875201|0.99248582|1.0|0.59843969|0.99347264
Cabo Verde|0.45071033|0.28657976|0.7296778|0.38828677|0.34839976|0.38413447|0.32405829|0.49298614|0.75213563|0.42131895|0.36737633|0.44788513|0.33320194|0.32388717|0.41073948|0.50662017|0.41429228|0.76722938|0.36455184|0.52265513|0.30186573|0.76722938|0.45623934|0.45864654|0.57749414|0.38755679|0.26961452|0.40134037|0.35277271|0.41973636|0.63214803|0.5145303|0.40561062|0.52017945|0.32175153|0.38167304|0.39160383|0.41092572|0.44013759|0.51392144|0.46446612|0.32464552|0.50741738|0.3379516|0.32758698|0.57373744|0.39149177
Camboya|0.17030494|0.133589|0.47043282|0.15467438|0.068890907|0.098838314|0.063413695|0.17730367|0.14992808|0.17057195|0.094755791|0.14490394|0.0|0.33780736|0.13112712|0.14046606|0.1214259|0.29727694|0.54255056|0.12688048|0.077775061|0.29727694|0.17933577|0.11314333|0.20509826|0.32945642|0.10274332|0.4357546|0.075093158|0.19681069|0.23560506|0.18987183|0.1097021|0.11197348|0.078836612|0.11287661|0.083109468|0.15412855|0.1291582|0.22898015|0.46736449|0.10634507|0.11669472|0.080872223|0.17815837|0.17841016|0.075109303
Camerún|0.28211859|0.29161724|0.3109318|0.58001351|0.24317174|0.30038935|0.47443983|0.42846102|0.15277219|0.30096528|0.3105666|0.37349784|0.125506|0.13010833|0.37069878|0.4208335|0.27879471|0.71014899|0.3056159|0.3518219|0.24189234|0.71014899|0.30927116|0.44042373|0.53149033|0.65218318|0.20896548|0.25050521|0.44725698|0.29557759|0.58551019|0.3868416|0.52679956|0.28248838|0.76470381|0.26828939|0.34660384|0.31058598|0.2736153|0.3979618|0.38376078|0.34957263|0.33299553|0.26464444|0.21619393|0.52486348|0.59017587
Canadá|0.66834009|0.79164052|0.6126287|0.68630731|0.58216721|0.5592128|0.59538168|0.21293589|0.87721473|0.6692642|0.73315907|0.39920813|0.57711536|0.87411582|0.63358891|0.56265461|0.63050717|0.52031672|0.74128193|0.2352442|0.73102415|0.52031672|0.49002403|0.62004167|0.65156937|0.62023246|0.78992367|0.73824644|0.62389052|0.49215776|0.42306066|0.6576544|0.64898169|0.60446775|0.51433867|0.61757797|0.68216866|0.72225523|0.78420079|0.2748231|0.40043423|0.62657428|0.53450072|0.54185343|0.66512775|0.66403091|0.54677761
Chad|0.25032941|0.23526753|0.21798161|0.28484836|0.25290537|0.26810622|0.24832937|0.40051955|0.12044936|0.27704933|0.27733636|0.31905657|0.10667117|0.11190209|0.35215798|0.38789225|0.23792359|0.66269398|0.27770102|0.3038376|0.22149113|0.66269398|0.31266099|0.34048524|0.4909378|0.29573339|0.18347988|0.22828054|0.59418035|0.26841694|0.54168504|0.37563792|0.29374129|0.29571557|0.44592711|0.28426009|0.31651986|0.30661643|0.23180069|0.36467299|0.38668889|0.4276166|0.29261321|0.25818259|0.19662951|0.48146176|0.28473133
Chile|0.87191606|0.7351383|0.84896028|0.77889377|0.76284826|0.89689291|0.79255521|0.51626432|0.9611448|0.69744396|0.81993318|0.99013019|0.89139473|0.72895825|0.88754487|0.90514731|0.91813028|0.91611618|0.69997829|0.7082653|0.85797858|0.91611618|0.86413085|0.83799708|0.87532508|0.90200508|0.80144727|0.76679373|0.77607936|0.89291131|0.99615407|0.85862684|0.81316495|0.7863096|0.77635372|0.77143526|0.82230461|0.80917931|0.69435567|0.75805849|0.79617512|0.9011429|0.56072116|0.80158323|0.82264471|0.88118219|0.79992247
China|0.68067551|0.47808802|0.29302227|0.54488152|0.17390388|0.34158832|0.39395785|0.25113565|0.40922573|0.52404207|0.47890553|0.5012545|0.43508112|0.70666945|0.18209425|0.1348604|0.28801918|0.18362519|0.45116436|0.10849881|0.70339674|0.18362519|0.31589919|0.35594285|0.33504677|0.27457088|0.5708847|0.38023758|0.32237351|0.24784219|0.14168234|0.081120878|0.42872196|0.24076901|0.57848632|0.48956573|0.24269083|0.28162608|0.49268058|0.060592636|0.19062713|0.28934222|0.15624288|0.52719855|0.28739399|0.29568857|0.37759829
Chipre|0.26490271|0.4418245|0.17788377|0.19778675|0.47013491|0.4873164|0.19788769|0.23947199|0.12319691|0.20578416|0.2744126|0.16866872|0.26993793|0.5851115|0.28959647|0.35776263|0.30428156|0.39221305|0.26055226|0.31337458|0.27670518|0.39221305|0.18297569|0.28065187|0.27797866|0.15873145|0.39894295|0.43047357|0.22883403|0.5654757|0.31503147|0.25611699|0.21324074|0.58125746|0.22385827|0.36794722|0.21045402|0.21445309|0.25165927|0.2891987|0.18787736|0.24028979|0.35550332|0.14834446|0.40348652|0.25424173|0.18827805
Comoras|0.57675326|0.63363981|0.54159397|0.53493679|0.52652752|0.58360845|0.55580711|0.74804556|0.62176651|0.50482464|0.59669536|0.66019917|0.38240781|0.24150679|0.62728786|0.47149828|0.5906859|0.53660429|0.51544189|0.68958992|0.4009341|0.53660429|0.59025705|0.54219526|0.39471847|0.591874|0.14758232|0.57751715|0.56161487|0.5939554|0.43853402|0.70841962|0.56313956|0.54892433|0.53410369|0.60590035|0.5905118|0.64131749|0.63425469|0.68645036|0.6192987|0.41582036|0.73447365|0.49668145|0.54309446|0.37122747|0.63099027
Congo|0.28642973|0.32070601|0.35949743|0.29132277|0.30818307|0.32309461|0.32716954|0.3972598|0.25739866|0.31896675|0.36389938|0.49298912|0.14650705|0.17284381|0.40397537|0.40172744|0.30732107|0.64369971|0.32324561|0.45427388|0.2555722|0.64369971|0.32370973|0.24897143|0.47470877|0.3059321|0.20101559|0.25340396|0.27586463|0.35104102|0.52249825|0.40694344|0.31261462|0.31965584|0.32891947|0.29874063|0.32329324|0.33900043|0.33596426|0.43824041|0.37456018|0.22491316|0.25604305|0.27504343|0.29369289|0.45695016|0.30381674
Corea del Sur|0.49711961|0.46974316|0.2831012|0.59203106|0.27299264|0.29447097|0.26998082|0.038459435|0.59574711|0.62881553|0.11489636|0.34099635|0.50196815|0.79542518|0.043442026|0.161374|0.2420935|0.079516985|0.40415958|0.069720984|0.6488449|0.079516985|0.09068092|0.14919168|0.031142455|0.08716993|0.58180779|0.44078207|0.13570742|0.033511773|0.058524173|0.025511239|0.53491676|0.0701342|0.25972497|0.3062672|0.49251649|0.040341511|0.59497917|0.03572588|0.47730637|0.070944622|0.17602593|0.16157964|0.14247164|0.15777504|0.2918877
Costa Rica|0.6914736|0.68288422|0.88242078|0.79724228|0.77505863|0.84691393|0.78914261|0.53901637|0.64951742|0.71710551|0.76127982|0.53509462|0.87061131|0.421381|0.95466304|0.89469832|0.8742457|0.83352494|0.80971801|0.50348341|0.65811062|0.83352494|0.77804565|0.8064357|0.84898442|0.86082351|0.61545265|0.81567955|0.80720335|0.78497982|0.87513781|0.74796474|0.84614623|0.88267875|0.80148304|0.86311388|0.80552638|0.65307248|0.72510362|0.69990265|0.91119552|0.84104091|0.55383301|0.90861714|0.86297166|0.8773787|0.80284536
