Pais|Aceites y grasas|Acuícola y pesquero|Agroindustrial|Agroquímicos|Artesanías|Artículos de hogar oficina hoteles e industrial|Autopartes|Avícola|Azúcar|Banano|Bebidas|Bovino|Cacao y sus derivados|Café|Calzado|Comunicación gráfica y editorial|Cosméticos y productos de aseo|Cuero y manufacturas de cuero|Cárnico|Derivados del café|Dotación Hospitalaria|Dotación hospitalaria|Envases/Empaques|Envases/empaques|Farmacéutico|Flores y plantas vivas|Frutas y hortalizas frescas y procesadas|Instrumentos y aparatos|Joyería y bisutería|Lácteos y sus derivados|Material Promocional|Materiales de construcción|Metalmecánica|Muebles y maderas|Otros agrícola|Otros pecuario|Papel y cartón|Plástico y caucho|Porcino|Químico|Textiles y Confecciones|Textiles y confecciones|Vehículos y otros medios de transporte
Bermudas|0.13308595|0.30126446|0.22031119|0.10932983|0.32792538|0.35971254|0.11921944|0.30152959|0.17405781|0.29416177|0.37347758|0.35897869|0.29815122|0.22007866|0.18963656|0.27832627|0.24840738|0.2629469|0.44462144|0.3293016|0.42458269|0.20016602|0.1650425|0.42458269|0.17921799|0.30215093|0.36438769|0.13665825|0.28737006|0.26485422|0.32952219|0.25066754|0.10916198|0.32895821|0.12153661|0.38099277|0.14174688|0.12313566|0.33785909|0.12743612|0.22454086|0.42458269|0.13554391
Bielorrusia|0.32445991|0.5604406|0.54239434|0.38803917|0.59203815|0.53660429|0.59384769|0.41361162|0.20072962|0.57029325|0.62024939|0.39780831|0.63042295|0.53851789|0.58962888|0.28973937|0.62716073|0.54912341|0.29529265|0.72459465|0.6323868|0.58692455|0.51095492|0.6323868|0.53477049|0.80046046|0.66153967|0.50966322|0.44886637|0.16015379|0.55201113|0.54360002|0.59954584|0.40890181|0.51847106|0.36083281|0.57810992|0.65721917|0.53045011|0.51635468|0.59833997|0.6323868|0.61220706
Bolivia|0.21836334|0.28683573|0.45148897|0.72452396|0.46941063|0.60234308|0.6010859|0.31248605|0.13814065|0.27558216|0.30355287|0.18400529|0.57443291|0.23091069|0.4895764|0.68338597|0.61937207|0.32143787|0.24762058|0.55307662|0.50884676|0.59023356|0.53574294|0.50884676|0.52548087|0.32739985|0.2975449|0.44054103|0.35073954|0.30945447|0.47692639|0.44753486|0.59168541|0.37861416|0.2380643|0.33405444|0.57523751|0.58141392|0.32845503|0.53043169|0.43712181|0.50884676|0.54261863
Bosnia|0.63496011|0.5953294|0.75887126|0.64248741|0.67454958|0.72897267|0.62289631|0.58342409|0.71000606|0.90131915|0.75699854|0.87066436|0.86232245|0.75418401|0.73515296|0.52145147|0.81442511|0.75418508|0.67361891|0.68887317|0.65199482|0.62869751|0.72996265|0.65199482|0.64684796|0.7241993|0.67435801|0.58878571|0.62629199|0.73945355|0.64319015|0.77493566|0.75785744|0.71657264|0.68239594|0.61446726|0.74005914|0.73942423|0.80925906|0.53608972|0.76156187|0.65199482|0.63043648
Botsuana|0.41247594|0.39360183|0.4976486|0.45005888|0.42823559|0.50212455|0.48404741|0.40189105|0.79728729|0.60112762|0.62982541|0.29933891|0.40057755|0.34649447|0.50330627|0.55251706|0.52693075|0.50607842|0.38977867|0.44958845|0.55556178|0.45497763|0.5080446|0.55556178|0.50178432|0.48825997|0.4321717|0.46879745|0.38966638|0.47375286|0.37448335|0.46034908|0.47718826|0.49647442|0.53178304|0.41235852|0.35146153|0.39850199|0.38175505|0.36485404|0.38086909|0.55556178|0.50339878
Brasil|0.57483292|0.60141015|0.4377718|1.0|0.52382427|0.59217083|0.81880355|0.20802397|0.23941672|0.41738504|0.3488729|0.44869465|0.49907881|0.26998097|0.39988595|0.58110821|0.59104449|0.57090974|0.31945348|0.4848091|0.67631173|0.75704169|0.59812522|0.67631173|0.74136817|0.49105549|0.55693185|0.6972037|0.60390872|0.54226023|0.59315443|0.50162345|0.72011805|0.32603854|0.49748087|0.5148657|0.46201146|0.83010316|0.36237258|0.92478895|0.61892635|0.67631173|0.59588468
Brunéi|0.37749451|0.62332726|0.58033395|0.24115433|0.45296812|0.48233277|0.46839207|0.28657967|0.30598271|0.61787105|0.46483618|0.58762991|0.50662422|0.41501153|0.47840002|0.64667952|0.542081|0.47463888|0.49991456|0.55697107|0.33058131|0.46631038|0.39417562|0.33058131|0.49888927|0.49546415|0.67876196|0.46169233|0.55256796|0.57588136|0.54166394|0.5175792|0.56216139|0.3748042|0.46477765|0.51810324|0.30520535|0.33045614|0.40900245|0.49380258|0.41570869|0.33058131|0.56828213
Bulgaria|0.55392498|0.54526663|0.59527004|0.67992651|0.60893053|0.60562408|0.59803128|0.61799181|0.69469327|0.64776647|0.66279346|0.59038413|0.71234798|0.67961609|0.6283384|0.49550298|0.63057977|0.53211373|0.63595462|0.63428175|0.78438365|0.51095116|0.55754673|0.78438365|0.59665966|0.57738811|0.62835026|0.61938179|0.61287427|0.70817256|0.58259952|0.60648501|0.62638813|0.56915736|0.5675801|0.63394463|0.64163876|0.64980525|0.75544167|0.59724164|0.61087996|0.78438365|0.61732197
Burkina Faso|0.15300715|0.25306734|0.31523737|0.36968869|0.15895271|0.24399953|0.38844216|0.096692428|0.32103968|0.39155382|0.28857607|0.079347581|0.096859597|0.42593473|0.17565724|0.28634882|0.21163288|0.23070209|0.14259176|0.51966941|0.30383724|0.30255479|0.47653461|0.30383724|0.43249321|0.11685975|0.1084711|0.25403097|0.10852441|0.33727607|0.12894601|0.28352839|0.37931168|0.16404034|0.26249379|0.064689346|0.25285849|0.21799009|0.17363888|0.33477908|0.17021669|0.30383724|0.26299599
Burundi|0.10945717|0.10034766|0.12865563|0.34182733|0.085681811|0.12980926|0.13287814|0.083991915|0.34259564|0.17987525|0.1816846|0.10237156|0.064981841|0.087847665|0.19582546|0.31671795|0.16371298|0.077981383|0.23075938|0.035187803|0.14700738|0.20727308|0.30296761|0.14700738|0.17189544|0.045269594|0.054446429|0.085111752|0.071718365|0.083241925|0.073424928|0.094219506|0.21289244|0.082810253|0.17780215|0.071692571|0.17324468|0.1198207|0.067705132|0.11352404|0.18192336|0.14700738|0.11531027
Bután|0.45273009|0.37597084|0.42683524|0.21178801|0.41048491|0.36646384|0.28493705|0.39226949|0.39037794|0.471064|0.40143678|0.46266121|0.3255156|0.29568836|0.35767865|0.33830535|0.38040975|0.34086886|0.28365386|0.35748291|0.58982098|0.36709026|0.3812432|0.58982098|0.28977948|0.36767876|0.37933081|0.48672396|0.33161831|0.51658088|0.38542211|0.37337756|0.4673734|0.56554258|0.38093764|0.27271694|0.2881946|0.29429424|0.54936403|0.28505278|0.40807995|0.58982098|0.37458199
Bélgica|0.94057089|0.89668918|0.86080515|0.83744287|0.91732436|0.88522899|0.94932425|0.88669074|0.93341255|0.9255327|0.78699988|0.80368328|0.9621191|0.9555732|0.94561648|0.87350631|0.82807779|0.74079782|0.88921535|0.90429401|0.91597545|0.91257298|0.97563118|0.91597545|0.97372878|0.73573518|0.85616446|0.81910372|0.90456253|0.97238553|0.89650786|0.85299742|0.84271431|0.92404568|0.96185207|0.84557664|0.92959797|0.90914643|0.81245112|1.0|0.84458035|0.91597545|0.90356255
Cabo Verde|0.36774313|0.3401922|0.36137289|0.18369818|0.38705358|0.37285256|0.18179825|0.58878314|0.50975013|0.39515987|0.46017388|0.49149817|0.28889668|0.55092919|0.16625553|0.29271683|0.32523435|0.18708789|0.59780049|0.28471571|0.32560199|0.26598901|0.35336283|0.32560199|0.16663435|0.31359959|0.52791989|0.19736192|0.17939872|0.5908671|0.3027004|0.38380447|0.19512011|0.42382208|0.38884801|0.34926796|0.18652102|0.19897345|0.56876761|0.21952268|0.19512336|0.32560199|0.24368758
Camboya|0.14194909|0.23473492|0.52336961|0.50754082|0.45593917|0.22397584|0.42551035|0.27729881|0.25737411|0.1138844|0.41377613|0.37479025|0.28028905|0.43474114|0.43934762|0.2553921|0.2667498|0.49024373|0.29141304|0.39705867|0.32227224|0.24607147|0.54177958|0.32227224|0.29319292|0.23820734|0.20748398|0.26172757|0.19896424|0.2994433|0.29382348|0.35781491|0.34479836|0.36761814|0.12751143|0.33078489|0.55700934|0.51944137|0.37620011|0.36847067|0.56157339|0.32227224|0.3485781
Camerún|0.24479544|0.39039788|0.28836036|0.40048772|0.41689351|0.32149342|0.30259708|0.1974757|0.40853763|0.052078333|0.42040953|0.14434721|0.16498385|0.053416587|0.39238721|0.31032681|0.15609407|0.34483892|0.21842287|0.24546833|0.24382474|0.21557052|0.45252603|0.24382474|0.31332564|0.23502293|0.12786922|0.27121913|0.19594553|0.32032302|0.26229304|0.38661665|0.32166445|0.18122661|0.37775698|0.091843866|0.36855268|0.34235531|0.29857579|0.28167224|0.31609064|0.24382474|0.29273719
Canadá|0.69909239|0.80588853|0.78591084|0.87070906|0.86935419|0.92157292|0.8473779|0.81247663|0.92906845|0.94240546|0.91397035|0.75007576|0.81571096|0.91741467|0.84479296|0.9014045|0.84016412|0.91737509|0.83093011|0.90917736|0.87289226|0.89343166|0.91063941|0.87289226|0.87897569|0.78888071|0.94019639|0.84740055|0.81070793|0.67140687|0.91039127|0.88689005|0.93973446|0.76763475|0.74067855|0.91499466|0.70001054|0.86048603|0.68441105|0.86401856|0.90387797|0.87289226|0.98374295
Chad|0.059642836|0.043843776|0.19317977|0.090034179|0.05726577|0.068263657|0.14290905|0.12067256|0.087020636|0.098004803|0.10666592|0.05844675|0.17085087|0.024852348|0.27245396|0.17087203|0.17542854|0.067504242|0.079652384|0.061604321|0.12166633|0.070042402|0.12216164|0.12166633|0.23823164|0.034447998|0.050734334|0.21281531|0.3725577|0.15634571|0.046470661|0.056527626|0.14992619|0.04395036|0.041654781|0.034264565|0.037515696|0.083409578|0.087001935|0.18826342|0.14376764|0.12166633|0.093729168
Chile|0.7239514|0.46149287|0.7398659|0.7146889|0.67728734|0.70289874|0.70884532|0.61185879|0.80092543|0.67125666|0.59140849|0.82282305|0.71517229|0.57961905|0.75794399|0.77960008|0.78365594|0.67062914|0.56763256|0.7140094|0.69181001|0.73038191|0.69703257|0.69181001|0.68434024|0.55575109|0.45049661|0.67889494|0.67887354|0.6401661|0.7246325|0.66487944|0.61398757|0.5054726|0.71015334|0.48027086|0.64465672|0.69160354|0.62893099|0.64773738|0.71793127|0.69181001|0.82019818
China|0.86741447|0.78589773|0.78292|0.42509755|0.50349808|0.62681007|0.58513343|0.87239057|0.87246907|0.88037682|0.6855222|1.0|0.76760441|0.78302979|0.61309755|0.42862612|0.99073368|0.74674231|0.379897|0.75349724|0.95145547|0.78000677|0.38670444|0.95145547|0.81793511|0.56860769|0.6839518|0.88935232|0.74914318|0.95341241|0.58892572|0.48016143|0.73392367|0.59556854|1.0|0.96895677|0.86221987|0.95952791|0.96337366|0.80644721|0.49295104|0.95145547|0.50823098
Chipre|0.66269767|0.77449489|0.93535328|0.60232127|0.81617832|0.82668227|0.67450011|0.83491707|0.83605969|0.73522699|0.8777402|0.76949239|0.78961712|0.65451455|0.79587448|0.83358061|0.89093286|0.66606402|0.83474922|0.87621439|0.7604931|0.77218652|0.74107099|0.7604931|0.66964382|0.80879354|0.77054107|0.63207006|0.79568243|0.82929152|0.78389955|0.81553125|0.60599995|0.81300312|0.7976371|0.68835521|0.68735325|0.62300873|0.82789612|0.6517185|0.72882706|0.7604931|0.84885859
Comoras|0.21196604|0.20123851|0.19691178|0.05693971|0.31087339|0.15098248|0.068547048|0.55969054|0.28456879|0.15070778|0.37785399|0.43788555|0.17781931|0.20457782|0.15510643|0.12345368|0.15987021|0.084417425|0.16897304|0.136191|0.13509473|0.060844168|0.10785376|0.13509473|0.062495273|0.14196014|0.15638046|0.04768125|0.12229319|0.31290156|0.095102273|0.15931956|0.081061661|0.2951358|0.21463475|0.20358895|0.058876969|0.047280062|0.11794627|0.042057432|0.11717925|0.13509473|0.14403448
Congo|0.36312896|0.51732022|0.30494621|0.19570974|0.17767812|0.15684801|0.21437535|0.72641885|0.12884611|0.12821843|0.254796|0.56829631|0.20030302|0.17969576|0.19303222|0.31355482|0.44632819|0.20359121|0.40535247|0.25793326|0.31947368|0.45836288|0.32728374|0.31947368|0.19619641|0.17751104|0.22906604|0.19134496|0.20553347|0.34004837|0.17826129|0.22113733|0.28719553|0.12013584|0.33597058|0.52370203|0.22432569|0.21502987|0.67438042|0.38540983|0.15101758|0.31947368|0.4129914
Corea del Sur|0.61164176|0.69429535|0.61918849|0.4065809|0.62865847|0.48840633|0.53637195|0.52736253|0.68969709|0.50258005|0.59441948|0.73289019|0.54322922|0.72081733|0.64544058|0.36327839|0.40697649|0.7635529|0.53315091|0.64500618|0.46743387|0.66962719|0.41180289|0.46743387|0.57798421|0.6427443|0.48946688|0.64364433|0.67372704|0.58368206|0.64760464|0.53089976|0.63277173|0.6112265|0.63570768|0.65274298|0.51073992|0.49856865|0.72092021|0.6947732|0.63529634|0.46743387|0.48884761
Costa Rica|0.32739687|0.48564601|0.56730169|0.70002031|0.57496601|0.71586621|0.51877177|0.45833325|0.28754434|0.45043021|0.53546232|0.52948177|0.606511|0.5583176|0.63121235|0.69357079|0.74618554|0.51229358|0.58439469|0.44363588|0.64605469|0.66550469|0.79453611|0.64605469|0.65179002|0.50190216|0.50710523|0.61656332|0.62335294|0.4132207|0.61450917|0.67768753|0.59533739|0.58917081|0.66661853|0.55293149|0.75456107|0.70866865|0.60097432|0.61456478|0.55376923|0.64605469|0.5153845
Costa de Marfil|0.18170644|0.57597446|0.28560159|0.49779361|0.2003769|0.23261279|0.33569831|0.34964189|0.454831|0.035120394|0.43303385|0.49859655|0.10721008|0.3055487|0.19871348|0.43764445|0.23676433|0.24166025|0.2651456|0.22241096|0.21878698|0.27161396|0.40043509|0.21878698|0.39051437|0.25987348|0.30579555|0.36467904|0.34123921|0.4328005|0.29801744|0.41906056|0.432311|0.19559005|0.49085578|0.37760115|0.48260251|0.41861776|0.57991481|0.40741658|0.213431|0.21878698|0.4953962
Croacia|0.60051823|0.63580996|0.74555445|0.65040493|0.71966398|0.74829173|0.65367818|0.69730699|0.62911046|0.81850421|0.71715319|0.81154251|0.72970599|0.5926581|0.77346897|0.53659469|0.7755512|0.67337334|0.70716906|0.7036041|0.36956596|0.61453557|0.65617996|0.36956596|0.67647594|0.70965987|0.72062039|0.6091876|0.63689846|0.79106379|0.70687544|0.75012892|0.70704079|0.69760156|0.56127316|0.67379957|0.73041463|0.66199207|0.91185224|0.60873234|0.74913311|0.36956596|0.69717801
Cuba|0.24813512|0.19107187|0.20179603|0.28185183|0.22513661|0.33348167|0.34592038|0.54669094|0.12133431|0.20859551|0.3566961|0.25011429|0.25152808|0.40784496|0.27886936|0.33302081|0.38579482|0.1778582|0.36432669|0.19505782|0.51794517|0.22389299|0.37830049|0.51794517|0.18221214|0.18733905|0.28890699|0.26798356|0.28349909|0.49480784|0.19071871|0.30153197|0.28426939|0.16112559|0.28620672|0.16375035|0.31232947|0.27776974|0.4155426|0.29337811|0.20446053|0.51794517|0.16251071
Curazao|0.19521126|0.32494622|0.33516791|0.14393869|0.34558162|0.30113906|0.17888734|0.39903909|0.27249798|0.53038257|0.49458358|0.48822859|0.30203718|0.35258651|0.26927558|0.26540869|0.39073527|0.26013675|0.42292559|0.37457955|0.42458269|0.34339285|0.22146864|0.42458269|0.21317109|0.38654613|0.39814061|0.205786|0.45646471|0.39042276|0.31889504|0.27588183|0.12608425|0.36084259|0.16334027|0.32109118|0.18960024|0.16538951|0.47359473|0.13493212|0.25020981|0.42458269|0.2354947
Dinamarca|0.83330882|0.90981936|0.91608346|0.85079479|0.94905347|0.93331987|0.78146565|0.90340734|0.8281641|0.81555188|0.95923924|0.87435758|0.93987536|0.84902161|0.92276967|0.94672751|0.84496021|0.78175294|0.86088443|0.94226551|0.95882303|0.82970595|0.9478091|0.95882303|0.83265042|0.88340473|0.87336534|0.8511517|0.8862344|0.86506557|0.91813475|0.958992|0.82795709|0.9707132|0.75562173|0.87361276|0.85018301|0.86653239|0.79703391|0.7262575|0.93020135|0.95882303|0.86313939
